id,customer_tweet_id,weak_label_hint,weak_rule_confidence
1,2777536,insufficient_information,0.0
2,2702117,insufficient_information,0.0
3,1497878,insufficient_information,0.0
4,2702119,insufficient_information,0.0
5,2496921,insufficient_information,0.0
6,1726239,insufficient_information,0.0
7,1571024,insufficient_information,0.0
8,2520677,insufficient_information,0.0
9,2079073,insufficient_information,0.0
10,1453886,insufficient_information,0.0
11,2350837,app_software_issue,0.5
12,326661,app_software_issue,0.99
13,2137233,app_software_issue,0.99
14,1570990,app_software_issue,0.99
15,1142095,app_software_issue,0.99
16,1446487,app_software_issue,0.99
17,1235647,app_software_issue,0.99
18,701622,app_software_issue,0.5
19,2552463,app_software_issue,0.5
20,286855,app_software_issue,0.99
21,512516,app_software_issue,0.99
22,1213462,app_software_issue,0.5
23,1020296,app_software_issue,0.99
24,2280302,app_software_issue,0.99
25,2410375,app_software_issue,0.99
26,391734,app_software_issue,0.99
27,1947983,app_software_issue,0.99
28,1908546,app_software_issue,0.99
29,2892027,app_software_issue,0.5
30,566772,app_software_issue,0.99
31,537588,app_software_issue,0.99
32,945686,app_software_issue,0.99
33,1047276,device_issue,0.99
34,9827,device_issue,0.99
35,2056484,device_issue,0.99
36,234619,device_issue,0.99
37,2292796,device_issue,0.99
38,566768,device_issue,0.99
39,327109,device_issue,0.99
40,1575134,device_issue,0.99
41,1951688,device_issue,0.99
42,373358,device_issue,0.99
43,1566797,device_issue,0.5
44,325501,device_issue,0.99
45,2427352,device_issue,0.99
46,260446,device_issue,0.99
47,2946995,device_issue,0.99
48,1516144,device_issue,0.6667
49,2305966,device_issue,0.99
50,1777859,device_issue,0.99
51,2304890,device_issue,0.5
52,2040103,device_issue,0.99
53,553614,device_issue,0.99
54,1761179,device_issue,0.99
55,149999,general_information,0.99
56,820167,general_information,0.6667
57,1975691,general_information,0.99
58,1458724,general_information,0.99
59,1659103,general_information,0.99
60,2558738,general_information,0.6667
61,2014720,general_information,0.99
62,1711279,general_information,0.99
63,2279554,general_information,0.99
64,1453878,general_information,0.99
65,2689422,general_information,0.99
66,639704,general_information,0.99
67,2010358,general_information,0.99
68,1772178,general_information,0.99
69,1027592,general_information,0.99
70,1630189,general_information,0.99
71,963248,general_information,0.99
72,641962,general_information,0.99
73,2134821,general_information,0.99
74,1724882,general_information,0.99
75,2309611,general_information,0.99
76,2301951,general_information,0.99
77,1400689,connectivity_issue,0.5
78,2255298,connectivity_issue,0.99
79,2493923,connectivity_issue,0.99
80,966847,connectivity_issue,0.6667
81,2321169,connectivity_issue,0.99
82,247633,connectivity_issue,0.5
83,1396526,connectivity_issue,0.99
84,2906788,connectivity_issue,0.5
85,208952,connectivity_issue,0.5
86,1905838,connectivity_issue,0.99
87,996580,connectivity_issue,0.5
88,406648,connectivity_issue,0.5
89,1794947,connectivity_issue,0.99
90,322674,connectivity_issue,0.5
91,1957955,connectivity_issue,0.99
92,215806,connectivity_issue,0.5
93,2040482,connectivity_issue,0.5
94,1774851,connectivity_issue,0.6667
95,2321165,connectivity_issue,0.99
96,1957447,connectivity_issue,0.5
97,2850842,connectivity_issue,0.6667
98,1221001,connectivity_issue,0.5
99,2593247,billing_payment,0.99
100,1916667,billing_payment,0.5
101,2008525,billing_payment,0.99
102,2757515,billing_payment,0.5
